t,UAB,UFD(V),IFD(A)
0.06055,0.956,166.016,532.26
0.06063,0.956,166.016,532.26
0.0607,0.956,166.016,532.26
0.06078,0.956,165.405,532.26
0.06086,0.956,165.405,532.26
0.06094,0.956,165.405,532.26
0.06102,0.956,165.405,532.26
0.06109,0.956,164.795,532.26
0.06117,0.956,164.795,532.26
0.06125,0.956,164.185,532.26
0.06133,0.955,163.574,532.26
0.06141,0.955,162.964,532.26
0.06148,0.956,162.354,532.26
0.06156,0.955,162.354,532.26
0.06164,0.956,161.743,532.26
0.06172,0.955,161.743,532.26
0.0618,0.955,161.133,532.26
0.06188,0.955,161.133,532.26
0.06195,0.955,161.133,532.26
0.06203,0.955,161.133,532.26
0.06211,0.955,161.133,532.26
0.06219,0.955,161.133,532.26
0.06227,0.955,161.743,532.26
0.06234,0.955,161.743,532.26
0.06242,0.955,161.743,532.26
0.0625,0.955,162.354,532.26
0.06258,0.955,162.354,532.26
0.06266,0.955,162.964,532.26
0.06273,0.955,162.964,532.26
0.06281,0.955,163.574,532.26
0.06289,0.955,163.574,532.26
0.06297,0.955,163.574,532.26
0.06305,0.955,164.185,532.26
0.06313,0.955,164.185,532.26
0.0632,0.955,164.795,532.26
0.06328,0.955,164.795,532.26
0.06336,0.955,165.405,532.26
0.06344,0.955,165.405,532.26
0.06352,0.955,165.405,532.26
0.06359,0.955,166.016,532.26
0.06367,0.955,166.016,532.26
